number,value,datetime_start,datetime_complete,duration,params_ideas_per_cluster,params_n_clusters,params_pop_size,params_remove_rate,state
89,10744.880906708175,2025-06-11 23:11:28.249246,2025-06-11 23:11:35.428923,0 days 00:00:07.179677,7,3,50,0.35,COMPLETE
90,10744.880906708175,2025-06-11 23:11:35.429493,2025-06-11 23:11:38.947988,0 days 00:00:03.518495,2,8,20,0.45000000000000007,COMPLETE
91,10744.880906708175,2025-06-11 23:11:38.948638,2025-06-11 23:11:42.578684,0 days 00:00:03.630046,5,4,20,0.4,COMPLETE
92,10744.880906708175,2025-06-11 23:11:42.579141,2025-06-11 23:11:51.065158,0 days 00:00:08.486017,4,3,20,0.5,COMPLETE
93,10744.880906708175,2025-06-11 23:11:51.065554,2025-06-11 23:11:53.954111,0 days 00:00:02.888557,5,5,20,0.4,COMPLETE
94,10744.880906708175,2025-06-11 23:11:53.954745,2025-06-11 23:11:59.183733,0 days 00:00:05.228988,4,4,20,0.45000000000000007,COMPLETE
95,10744.880906708175,2025-06-11 23:11:59.184411,2025-06-11 23:12:05.961292,0 days 00:00:06.776881,6,4,30,0.35,COMPLETE
96,10744.880906708175,2025-06-11 23:12:05.961913,2025-06-11 23:12:08.230090,0 days 00:00:02.268177,10,6,50,0.4,COMPLETE
97,10744.880906708175,2025-06-11 23:12:08.230592,2025-06-11 23:12:11.370309,0 days 00:00:03.139717,4,7,20,0.30000000000000004,COMPLETE
98,10744.880906708175,2025-06-11 23:12:11.370992,2025-06-11 23:12:17.435221,0 days 00:00:06.064229,6,5,30,0.5,COMPLETE
99,10744.880906708175,2025-06-11 23:12:17.435807,2025-06-11 23:12:22.323196,0 days 00:00:04.887389,9,8,20,0.6,COMPLETE
